                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.0931,                 1.3188,                 1.1198,                0.60709,                0.64783,                0.63719,                0.44259,                0.98616,                 1.2346,                 1.1153,             0.00060031,             0.00060031,             0.00060031
                    107,                 1.1097,                 1.3496,                  1.112,                0.59774,                0.64478,                0.63197,                 0.4263,                 1.0189,                 1.2351,                 1.1357,             0.00059413,             0.00059413,             0.00059413
                    108,                 1.0981,                 1.3251,                 1.1198,                0.63258,                0.64902,                 0.6425,                0.44476,                0.96862,                 1.2083,                 1.1073,             0.00058794,             0.00058794,             0.00058794
                    109,                 1.0864,                 1.3247,                 1.1104,                0.62874,                0.65604,                0.64612,                0.44777,                0.97978,                 1.1948,                 1.1118,             0.00058175,             0.00058175,             0.00058175
                    110,                 1.0711,                 1.3034,                 1.1013,                0.60831,                0.64872,                0.64929,                0.45536,                0.95963,                 1.2001,                 1.0984,             0.00057556,             0.00057556,             0.00057556
                    111,                 1.0979,                 1.3302,                 1.1114,                0.61486,                0.69386,                0.65492,                0.46066,                0.97602,                 1.1994,                  1.111,             0.00056938,             0.00056938,             0.00056938
                    112,                 1.0914,                 1.2993,                 1.1107,                 0.6735,                0.65639,                0.66185,                0.46761,                0.96245,                 1.2582,                 1.1003,             0.00056319,             0.00056319,             0.00056319
                    113,                 1.0655,                 1.2801,                 1.0984,                0.59738,                0.66445,                0.66861,                0.47767,                0.94955,                 1.1775,                 1.0972,               0.000557,               0.000557,               0.000557
                    114,                 1.0949,                 1.3018,                 1.1006,                0.61482,                0.68819,                0.65897,                0.45014,                 1.0006,                 1.2233,                 1.1247,             0.00055081,             0.00055081,             0.00055081
                    115,                 1.0736,                 1.2943,                 1.1028,                0.66369,                0.66047,                0.68646,                0.49064,                0.94238,                 1.1473,                 1.0885,             0.00054463,             0.00054463,             0.00054463
                    116,                 1.0655,                  1.296,                 1.0965,                0.64826,                0.67733,                0.67799,                0.47505,                0.97278,                 1.1929,                 1.1102,             0.00053844,             0.00053844,             0.00053844
                    117,                   1.08,                 1.2954,                 1.1051,                0.66406,                0.68059,                0.69383,                0.48722,                0.95569,                 1.1603,                 1.0986,             0.00053225,             0.00053225,             0.00053225
                    118,                 1.0734,                 1.3242,                 1.1117,                0.66872,                0.67669,                0.68922,                0.48629,                 0.9424,                 1.1566,                 1.0914,             0.00052606,             0.00052606,             0.00052606
                    119,                 1.0821,                 1.2888,                 1.0931,                0.63471,                 0.6723,                0.68063,                 0.4778,                0.97919,                 1.1591,                 1.1066,             0.00051988,             0.00051988,             0.00051988
                    120,                 1.0745,                 1.2783,                 1.1025,                0.68556,                0.68722,                0.69072,                0.48627,                0.95293,                 1.1332,                 1.0927,             0.00051369,             0.00051369,             0.00051369
